id,name,phone,email,address,sex,total_bill,tip,day,time,size,foodquality,age
1,Prateeksha Patel,1234567890,prateekshapatel@gmail.com,Bhopal,female,980,89,Sun,Dinner,5,Good,13-17
2,Amit Patel,7489254540,amitpatel@gmail.com,Bhopal,Male,940,78,Mon,Dinner,3,Average,13-17
3,Amit Patel,7489254541,amitpatel@gmail.com,Bhopal,Male,800,80,Tue,Dinner,3,Poor,13-17
4,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,300,30,Wed,Dinner,2,excellent,13-17
5,Prateeksha Patel,1234567890,prateekshapatel@gmail.com,Bhopal,female,1000,100,Thu,Dinner,4,Good,13-17
6,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,950,79,Fri,Dinner,4,Good,38-42
7,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,400,50,Sat,Dinner,2,Good,38-42
8,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,1000,89,Sun,Dinner,4,Good,38-42
9,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,300,30,Mon,Dinner,2,Good,38-42
10,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,400,34,Tue,Dinner,2,Good,38-42
11,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,550,45,Wed,Dinner,2,Good,13-17
12,Prateeksha Patel,1234567890,prateekshapatel@gmail.com,Bhopal,female,905,89,Thu,Dinner,4,Good,13-17
13,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,300,40,Fri,Dinner,2,Good,13-17
14,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,1200,130,Sat,Dinner,6,Good,under-14
15,Prateeksha Patel,1234567890,prateekshapatel@gmail.com,Bhopal,female,220,20,Sun,Dinner,2,Good,under-14
16,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,400,40,Mon,Dinner,2,Good,under-14
17,Prateeksha Patel,1234567890,prateekshapatel@gmail.com,Bhopal,female,500,50,Tue,Dinner,3,excellent,under-14
18,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,600,60,Wed,Dinner,3,excellent,under-14
19,Prateeksha Patel,1234567890,prateekshapatel@gmail.com,Bhopal,female,700,67,Thu,Dinner,3,excellent,under-14
20,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,450,45,Fri,Dinner,3,excellent,under-14
21,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,300,43,Sat,Dinner,2,excellent,under-14
22,Prateeksha Patel,1234567890,prateekshapatel@gmail.com,Bhopal,female,240,24,Sun,Dinner,2,excellent,13-17
23,Prateeksha Patel,1234567890,prateekshapatel@gmail.com,Bhopal,female,300,30,Mon,Dinner,2,excellent,13-17
24,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,900,90,Tue,Dinner,4,excellent,13-17
25,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,300,30,Wed,Dinner,2,excellent,13-17
26,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,900,90,Thu,Dinner,4,excellent,13-17
27,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,400,54,Fri,Dinner,2,excellent,18-22
28,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,300,34,Sat,Dinner,2,excellent,18-22
29,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,350,34,Sun,Dinner,2,excellent,18-22
30,Prateeksha Patel,1234567890,prateekshapatel@gmail.com,Bhopal,female,350,54,Mon,Dinner,2,excellent,18-22
31,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,400,34,Tue,Dinner,2,excellent,18-22
32,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,780,89,Wed,Dinner,4,excellent,18-22
33,Prateeksha Patel,1234567890,prateekshapatel@gmail.com,Bhopal,female,340,67,Thu,Dinner,2,Good,18-22
34,Prateeksha Patel,1234567890,prateekshapatel@gmail.com,Bhopal,female,500,45,Fri,Dinner,4,Good,above-42
35,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,200,20,Sat,Dinner,2,Good,above-42
36,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,400,40,Sun,Dinner,3,Good,above-42
37,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,400,30,Mon,Dinner,3,Good,above-42
38,Prateeksha Patel,1234567890,prateekshapatel@gmail.com,Bhopal,female,340,30,Tue,Dinner,3,Good,above-42
39,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,400,43,Wed,Dinner,3,Good,above-42
40,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,230,23,Thu,Dinner,3,Poor,18-22
41,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,345,54,Fri,Dinner,3,Poor,18-22
42,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,200,24,Sat,Dinner,2,Poor,18-22
43,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,240,26,Sun,Dinner,2,Poor,18-22
44,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,290,30,Mon,Dinner,2,Poor,18-22
45,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,460,46,Tue,Dinner,4,Poor,18-22
46,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,230,54,Wed,Dinner,2,Poor,18-22
47,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,300,34,Thu,Dinner,2,Poor,18-22
48,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,469,65,Fri,Dinner,4,Poor,18-22
49,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,400,45,Sat,Dinner,3,Poor,18-22
50,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,320,43,Sun,Dinner,2,Poor,18-22
51,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,230,32,Mon,Dinner,2,Poor,18-22
52,Prateeksha Patel,1234567890,prateekshapatel@gmail.com,Bhopal,female,250,32,Tue,Dinner,2,Poor,18-22
53,Prateeksha Patel,1234567890,prateekshapatel@gmail.com,Bhopal,female,456,54,Wed,Dinner,4,Poor,18-22
54,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,260,23,Thu,Dinner,2,Poor,18-22
55,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,340,43,Fri,Dinner,4,Poor,18-22
56,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,304,23,Sat,Dinner,2,Poor,18-22
57,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,460,45,Sun,Dinner,4,Poor,18-22
58,Prateeksha Patel,1234567890,prateekshapatel@gmail.com,Bhopal,female,234,23,Mon,Dinner,2,Poor,33-37
59,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,320,32,Tue,Dinner,2,Poor,33-37
60,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,456,46,Wed,Dinner,4,Poor,33-37
61,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,300,54,Thu,Dinner,2,Poor,33-37
62,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,234,23,Fri,Dinner,2,Poor,33-37
63,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,256,87,Sat,Dinner,2,Poor,38-42
64,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,456,56,Sun,Dinner,4,Poor,38-42
65,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,300,45,Mon,Dinner,3,Poor,38-42
66,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,345,45,Tue,Dinner,3,Poor,38-42
67,Prateeksha Patel,1234567890,prateekshapatel@gmail.com,Bhopal,female,200,40,Wed,Dinner,2,Poor,38-42
68,Prateeksha Patel,1234567890,prateekshapatel@gmail.com,Bhopal,female,123,56,Thu,Dinner,1,Poor,38-42
69,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,234,34,Fri,Dinner,2,Poor,23-27
70,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,290,34,Sat,Dinner,2,Poor,23-27
71,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,243,32,Sun,Dinner,2,Poor,23-27
